epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,436.413,0.91534,0.64407,0.93555,0.93882,0.92116,0.96875,0.741,0.93132,0.53843,0.96533,0.000485382,0.000485382,0.000485382
80,441.264,0.88917,0.63212,0.92701,0.93947,0.91401,0.96772,0.74372,0.88639,0.52799,0.95542,0.000484862,0.000484862,0.000484862
81,446.15,0.88476,0.63344,0.93099,0.92779,0.94455,0.96245,0.73274,0.91695,0.50806,0.95763,0.000484341,0.000484341,0.000484341
82,452.437,0.90745,0.63628,0.93056,0.92217,0.91779,0.96227,0.7413,0.90687,0.52566,0.95867,0.00048382,0.00048382,0.00048382
83,457.373,0.92545,0.6444,0.94182,0.94712,0.93777,0.97847,0.75536,0.88892,0.49945,0.9523,0.000483299,0.000483299,0.000483299
84,462.442,0.87474,0.61558,0.92028,0.95099,0.9621,0.97948,0.76559,0.85958,0.46319,0.94329,0.000482779,0.000482779,0.000482779
85,469.034,0.91143,0.60759,0.94114,0.94674,0.9515,0.97458,0.76206,0.85341,0.4806,0.94027,0.000482258,0.000482258,0.000482258
86,474.342,0.89324,0.62304,0.92743,0.92797,0.93229,0.97304,0.76099,0.85821,0.50591,0.94141,0.000481737,0.000481737,0.000481737
87,481.388,0.87768,0.60781,0.92916,0.95939,0.95761,0.97858,0.76383,0.86984,0.46714,0.94441,0.000481216,0.000481216,0.000481216
88,486.965,0.88639,0.62044,0.92822,0.95181,0.93977,0.9782,0.75492,0.90179,0.48815,0.95333,0.000480696,0.000480696,0.000480696
89,492.35,0.89284,0.60911,0.92758,0.95473,0.94098,0.97723,0.75513,0.8979,0.47643,0.95678,0.000480175,0.000480175,0.000480175
90,499.177,0.88608,0.6087,0.92461,0.97268,0.94476,0.98031,0.75406,0.90057,0.46009,0.95683,0.000479654,0.000479654,0.000479654
91,504.477,0.88424,0.60151,0.93009,0.95825,0.9546,0.9791,0.76014,0.88095,0.45567,0.9549,0.000479133,0.000479133,0.000479133
92,510.021,0.88228,0.60927,0.92157,0.96481,0.95408,0.97925,0.757,0.90245,0.46139,0.96109,0.000478613,0.000478613,0.000478613
93,516.73,0.90308,0.61116,0.92848,0.95276,0.93349,0.9732,0.74821,0.90119,0.49796,0.96166,0.000478092,0.000478092,0.000478092
94,521.947,0.88175,0.6068,0.92931,0.95103,0.94524,0.97686,0.75563,0.90036,0.47795,0.95895,0.000477571,0.000477571,0.000477571
95,527.202,0.87868,0.60925,0.91611,0.96175,0.95597,0.97882,0.75495,0.90147,0.46738,0.96009,0.00047705,0.00047705,0.00047705
96,534.03,0.87375,0.60032,0.9287,0.95619,0.95469,0.98013,0.75854,0.87755,0.46431,0.95268,0.00047653,0.00047653,0.00047653
97,539.253,0.88754,0.61459,0.92653,0.93379,0.89947,0.95978,0.74502,0.88162,0.52811,0.95133,0.000476009,0.000476009,0.000476009
98,544.799,0.88255,0.58877,0.93627,0.9401,0.94257,0.97195,0.75361,0.8858,0.48112,0.95607,0.000475488,0.000475488,0.000475488
99,551.487,0.89431,0.60048,0.93594,0.95021,0.93391,0.97315,0.74949,0.92305,0.47743,0.96782,0.000474967,0.000474967,0.000474967
100,556.742,0.86589,0.58906,0.92234,0.95499,0.94948,0.97397,0.75228,0.89634,0.45987,0.9562,0.000474447,0.000474447,0.000474447
101,562.026,0.88243,0.58515,0.93448,0.95813,0.94701,0.97542,0.75504,0.88393,0.45963,0.9547,0.000473926,0.000473926,0.000473926
102,567.291,0.89144,0.59968,0.92392,0.95575,0.95386,0.97842,0.75375,0.90069,0.45947,0.96084,0.000473405,0.000473405,0.000473405
103,574.21,0.87108,0.57569,0.92265,0.96353,0.94389,0.9797,0.75775,0.87862,0.45162,0.95448,0.000472885,0.000472885,0.000472885
104,579.509,0.88293,0.57724,0.92318,0.96239,0.95763,0.97887,0.75685,0.8867,0.43819,0.96053,0.000472364,0.000472364,0.000472364
